word, deff, prt_of_speech, usage, frequency_rank 
a ab abs,from# by (+abl.),Preposition,Place,21
abeo abire abii abitum,go away,Verb: Irregular,Motion,553
absum abesse afui,be away# absent,Verb: Irregular,Travel,445
ac,and in addition# and also# and; (after comparatives) than; simul ac# as soon as; → atque,Conjunction,Conjunctions/Adverbs,36
accedo accedere accedcessi accedcessum,approach,Verb: 3rd Conjugation -o,Motion,614
accido accidere accidi,fall; happen,Verb: 3rd Conjugation -o,Motion,799
accipio accipere accipcepi accipceptum,receive,Verb: 3rd Conjugation -io,Social Life,110
acer acris acre,sharp# piercing,Adjective: 3rd Declension,Other Senses,587
acies aciei f.,edge; line of battle,Noun: 5th Declension,War and Peace,439
ad,to# up to# towards (+acc.),Preposition,Place,14
addo addere addidi additum,give to,Verb: 3rd Conjugation -o,Social Life,433
adduco adducere adducduxi adductum,lead to# induce,Verb: 3rd Conjugation -o,Verbs of Compelling/Directing,886
adeo adire adii aditum,go to,Verb: Irregular,Motion,595
adeo,(adv.) to such a degree# so,Adverb,Conjunctions/Adverbs,555
adhibeo adhibere adhibui adhibitum,apply,Verb: 2nd Conjugation,Making/Doing,959
adhuc,thus far# to this point,Adverb,Place,379
advenio advenire adveni adventum,come to# arrive at,Verb: 4th Conjugation,Travel,987
adversus adversa adversum,facing# opposed; unfavorable,Adjective: 1st and 2nd Declension,War and Peace,657
adverto advertere adverti advertversum,turn towards,Verb: 3rd Conjugation -o,Motion,986
aedes aedis f.,building; (pl.) house,Noun: 3rd Declension,The House,965
aeger aegra aegrum,sick,Adjective: 1st and 2nd Declension,Life and Being,810
aegre,with difficulty,Adverb,Life and Being,984
aeque,equally,Adverb,Justice,904
aequor aequoris n.,level surface# sea# plain,Noun: 3rd Declension,Earth and Water,424
aequus aequa aequum,equal,Adjective: 1st and 2nd Declension,Justice,610
aer aeris m.,air,Noun: 3rd Declension,Air and Fire,845
aes aeris n.,copper# bronze,Noun: 3rd Declension,Business/Money,744
aetas aettatis f.,age# time of life,Noun: 3rd Declension,Lengths of Time,308
aeternus aeterna aeternum,everlasting# eternal,Adjective: 1st and 2nd Declension,Lengths of Time,734
aether aetheris n.,pure upper air# ether# heaven# sky,Noun: 3rd Declension,Air and Fire,851
aevum aevi n.,eternity; lifetime# age,Noun: 2nd Declension,Lengths of Time,875
affero afferre attuli allatum,bring to,Verb: Irregular,Verbs of Transport,514
afficio afficere afficfeci afficfectum,affect# visit with (+ abl.),Verb: 3rd Conjugation -io,Social Life,958
ager agri m.,field,Noun: 2nd Declension,Animals/Plants,324
agito agitare,drive,Verb: 1st Conjugation,Verbs of Compelling/Directing,578
agmen agmminis n.,line of march,Noun: 3rd Declension,War and Peace,358
ago agere egi actum,drive# do# act,Verb: 3rd Conjugation -o,Verbs of Compelling/Directing,69
aio,say# affirm# say yes; ut aiunt: as they say,Verb: Irregular,Speech/Oratory,406
albus alba album,white,Adjective: 1st and 2nd Declension,Vision,925
alienus aliena alienum,foreign# strange,Adjective: 1st and 2nd Declension,Geography,367
aliquando,at some time# at length,Adverb,Time,763
aliquis aliquisquae aliquisquod,some# any; si quis# si quid: anyone who# anything that,Pronoun,Pronouns/Interrogatives,77
aliter,otherwise# differently,Adverb,Conjunctions/Adverbs,782
alius alia aliud,other# another; alias: at another time,Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,37
alo alere alui alitum,nourish,Verb: 3rd Conjugation -o,Life and Being,817
alter altera alterum,other of two,Adjective: 1st and 2nd Declension,Measurement,148
altus alta altum,high# lofty; deep,Adjective: 1st and 2nd Declension,Geography,159
amicitia amicitae f.,friendship,Noun: 1st Declension,Social Life,690
amicus amica amicum,friendly; (as subst.) friend,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,198
amitto amittere amittmisi amittmissum,let go# send away,Verb: 3rd Conjugation -o,Verbs of Compelling/Directing,486
amnis amnis m.,river# torrent,Noun: 3rd Declension,Earth and Water,467
amo amare,to love; amans -ntis m./f.: lover,Verb: 1st Conjugation,Love,219
amor amooris m.,love,Noun: 3rd Declension,Love,116
amplus ampla amplum,large# spacious,Adjective: 1st and 2nd Declension,Measurement,915
an,or (in questions); utrum ... an: whether ... or,Conjunction,Conjunctions/Adverbs,94
anima aniae f.,breath# spirit,Noun: 1st Declension,Life and Being,493
animal animalis n.,a living being# an animal,Noun: 3rd Declension,Animals/Plants,547
animus animi m.,spirit# mind,Noun: 2nd Declension,Life and Being,40
annus anni m.,year,Noun: 2nd Declension,Lengths of Time,167
ante,before# in front of (adv. and prep. + acc.),Preposition,Time,112
antequam,before,Conjunction,Time,787
antiquus antiqua antiquum,ancient# old-time# former,Adjective: 1st and 2nd Declension,Lengths of Time,617
aperio aperire aperui apertum,open,Verb: 4th Conjugation,The House,837
appareo apparere apparui,appear# become visible,Verb: 2nd Conjugation,Vision,830
appello appellare,call# address# name,Verb: 1st Conjugation,Social Life,700
aptus apta aptum,fit# suitable,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,916
apud,near# in the presence of (+acc.),Preposition,Place,205
aqua aqae f.,water,Noun: 1st Declension,Earth and Water,272
ara aae f.,altar,Noun: 1st Declension,Religion,374
arbitror arbitrari arbitratus sum,consider# think,Verb: Deponent,Education/Knowledge,963
arbor arboris f.,tree,Noun: 3rd Declension,Animals/Plants,468
ardeo ardere arsi arsum,blaze# glow; be eager,Verb: 2nd Conjugation,Air and Fire,618
argentum argenti n.,silver# money,Noun: 2nd Declension,Business/Money,849
arma arorum n. pl.,arms# weapons,Noun: 2nd Declension,War and Peace,98
ars artis f.,skill,Noun: 3rd Declension,Education/Knowledge,258
arvum arvi n.,ploughed land# field,Noun: 2nd Declension,Animals/Plants,637
arx arcis f.,citadel# castle; summit,Noun: 3rd Declension,The City,638
ascendo ascendere ascendi ascendscensum,climb up# ascend,Verb: 3rd Conjugation -o,Travel,990
aspicio aspicere aspicspexi aspicspectum,look to or at# behold,Verb: 3rd Conjugation -io,Vision,483
adsum adesse affui,be present,Verb: Irregular,Place,279
astrum astri n.,star; constellation,Noun: 2nd Declension,Air and Fire,685
at,but# but yet,Conjunction,Conjunctions/Adverbs,74
atque,and in addition# and also# and; (after comparatives) than; simul atque# as soon as; → ac,Conjunction,Conjunctions/Adverbs,35
auctor auctooris m.,originator# founder,Noun: 3rd Declension,Writing/Poetry,546
auctoritas auctoritatis f.,influence# clout# authority,Noun: 3rd Declension,Social Life,898
audax audacis,bold# daring; reckless,Adjective: 3rd Declension,Personality Traits/Characteristics,876
audeo audere ausus sum,dare# be eager,Verb: 2nd Conjugation,Personality Traits/Characteristics,270
audio audire audivi auditum,hear# listen to,Verb: 4th Conjugation,Other Senses,165
aufero auferre abstuli ablatum,take away,Verb: Irregular,Verbs of Transport,556
augeo augere auxi auctum,increase,Verb: 2nd Conjugation,Making/Doing,709
avis avis f.,bird,Noun: 3rd Declension,Animals/Plants,855
aura auae f.,breeze,Noun: 1st Declension,Air and Fire,420
aureus aurea aureum,golden; splendid,Adjective: 1st and 2nd Declension,Business/Money,691
auris auris f.,ear,Noun: 3rd Declension,The Body,366
aurum auri n.,gold,Noun: 2nd Declension,Business/Money,303
aut,or,Conjunction,Conjunctions/Adverbs,24
autem,moreover# but# however,Conjunction,Conjunctions/Adverbs,123
auxilium auxilii n.,support# assistance; (pl.) auxiliary forces,Noun: 2nd Declension,War and Peace,543
barbarus barbari m.,foreigner# barbarian,Noun: 2nd Declension,War and Peace,768
beatus beata beatum,happy# blessed# prosperous# fortunate,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,408
bellum belli n.,war,Noun: 2nd Declension,War and Peace,86
bene,well,Adverb,Personality Traits/Characteristics,235
beneficium beneficii n.,service# kindness,Noun: 2nd Declension,Social Life,182
bonus bona bonum,good,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,68
bos bovis m.,ox; gen. pl. boum,Noun: 3rd Declension,Animals/Plants,808
brevis breve,short# shallow# brief,Adjective: 3rd Declension,Measurement,589
breviter,briefly,Adverb,Measurement,992
cado cadere cecidi casum,fall# be killed,Verb: 3rd Conjugation -o,Violence,210
caecus caeca caecum,blind# unseeing; dark# obscure,Adjective: 1st and 2nd Declension,Vision,728
caedes caedis f.,killing# slaughter,Noun: 3rd Declension,Violence,415
caedo caedere cecidi caesum,strike# kill# cut down,Verb: 3rd Conjugation -o,Violence,612
caelestis caeleste,from or of heaven; caelestes# the gods,Adjective: 3rd Declension,Air and Fire,960
caelum caeli n.,sky# heavens,Noun: 2nd Declension,Air and Fire,117
campus campi m.,plain# field,Noun: 2nd Declension,Earth and Water,391
candidus candida candidum,white# fair,Adjective: 1st and 2nd Declension,Vision,692
canis canis m./f.,dog,Noun: 3rd Declension,Animals/Plants,687
cano canere cecini cantum,sing,Verb: 3rd Conjugation -o,Writing/Poetry,389
capio capere cepi captum,seize,Verb: 3rd Conjugation -io,War and Peace,131
caput capitis n.,head,Noun: 3rd Declension,The Body,124
careo carere carui,lack (+ abl.),Verb: 2nd Conjugation,Business/Money,572
carmen carminis n.,song,Noun: 3rd Declension,Writing/Poetry,254
carus cara carum,dear,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,462
